itemid,label,n_hadm_id,valueuom,ref_range_lower,ref_range_upper
50822,"Potassium, Whole Blood",50,mEq/L,3.3,5.1
50822,"Potassium, Whole Blood",106,mEq/L,3.5,5.4
50863,Alkaline Phosphatase,1845,IU/L,35.0,105.0
50863,Alkaline Phosphatase,2134,IU/L,40.0,130.0
50868,Anion Gap,110,mEq/L,8.0,16.0
50868,Anion Gap,1011,mEq/L,8.0,20.0
50868,Anion Gap,2996,mEq/L,10.0,18.0
50910,Creatine Kinase (CK),103,IU/L,29.0,201.0
50910,Creatine Kinase (CK),104,IU/L,47.0,322.0
50912,Creatinine,1904,mg/dL,0.4,1.1
50912,Creatinine,2199,mg/dL,0.5,1.2
50924,Ferritin,175,ng/mL,13.0,150.0
50924,Ferritin,181,ng/mL,30.0,400.0
50952,Iron,131,ug/dL,30.0,160.0
50952,Iron,143,ug/dL,45.0,160.0
50960,Magnesium,4,mg/dL,1.5,2.2
50960,Magnesium,4083,mg/dL,1.6,2.6
50963,NTproBNP,8,pg/mL,0.0,93.0
50963,NTproBNP,5,pg/mL,0.0,138.0
50963,NTproBNP,9,pg/mL,0.0,177.0
50963,NTproBNP,10,pg/mL,0.0,178.0
50963,NTproBNP,6,pg/mL,0.0,192.0
50963,NTproBNP,14,pg/mL,0.0,226.0
50963,NTproBNP,19,pg/mL,0.0,229.0
50963,NTproBNP,20,pg/mL,0.0,353.0
50963,NTproBNP,12,pg/mL,0.0,624.0
50963,NTproBNP,15,pg/mL,0.0,852.0
50971,Potassium,1407,mEq/L,3.3,5.1
50971,Potassium,2719,mEq/L,3.5,5.4
50983,Sodium,1113,mEq/L,133.0,145.0
50983,Sodium,2997,mEq/L,135.0,147.0
51007,Uric Acid,771,mg/dL,2.4,5.7
51007,Uric Acid,1025,mg/dL,3.4,7.0
51221,Hematocrit,1904,%,34.0,45.0
51221,Hematocrit,2197,%,40.0,51.0
51222,Hemoglobin,1904,g/dL,11.2,15.7
51222,Hemoglobin,2197,g/dL,13.7,17.5
51279,Red Blood Cells,1904,m/uL,3.9,5.2
51279,Red Blood Cells,2197,m/uL,4.6,6.1
