itemid,label,n_hadm_id,valueuom,ref_range_lower,ref_range_upper
50804,Calculated Total CO2,279,mEq/L,21.0,30.0
50808,Free Calcium,220,mmol/L,1.12,1.32
50813,Lactate,383,mmol/L,0.5,2.0
50818,pCO2,278,mm Hg,35.0,45.0
50820,pH,364,units,7.35,7.45
50821,pO2,278,mm Hg,85.0,105.0
50861,Alanine Aminotransferase (ALT),4752,IU/L,0.0,40.0
50862,Albumin,3680,g/dL,3.5,5.2
50878,Asparate Aminotransferase (AST),4759,IU/L,0.0,40.0
50882,Bicarbonate,4865,mEq/L,22.0,32.0
50883,"Bilirubin, Direct",223,mg/dL,0.0,0.3
50885,"Bilirubin, Total",4702,mg/dL,0.0,1.5
50889,C-Reactive Protein,230,mg/L,0.0,5.0
50893,"Calcium, Total",4837,mg/dL,8.4,10.3
50902,Chloride,4865,mEq/L,96.0,108.0
50911,"Creatine Kinase, MB Isoenzyme",161,ng/mL,0.0,10.0
50930,Globulin,359,g/dL,2.0,4.0
50931,Glucose,4852,mg/dL,70.0,100.0
50935,Haptoglobin,343,mg/dL,30.0,200.0
50950,Immunoglobulin G,178,mg/dL,700.0,1600.0
50953,"Iron Binding Capacity, Total",282,ug/dL,260.0,470.0
50954,Lactate Dehydrogenase (LD),3978,IU/L,94.0,250.0
50956,Lipase,219,IU/L,0.0,60.0
50961,Methotrexate,669,umol/L,0.0,0.2
50970,Phosphate,4843,mg/dL,2.7,4.5
50976,"Protein, Total",460,g/dL,6.4,8.3
50993,Thyroid Stimulating Hormone,329,uIU/mL,0.27,4.2
50998,Transferrin,286,mg/dL,200.0,360.0
51000,Triglycerides,240,mg/dL,0.0,149.0
51006,Urea Nitrogen,4866,mg/dL,6.0,20.0
51009,Vancomycin,278,ug/mL,10.0,20.0
51010,Vitamin B12,166,pg/mL,240.0,900.0
51133,Absolute Lymphocyte Count,4485,K/uL,1.2,3.7
51143,Atypical Lymphocytes,1450,%,0.0,0.0
51144,Bands,1772,%,0.0,5.0
51146,Basophils,4485,%,0.0,1.0
51148,Blasts,243,%,0.0,0.0
51200,Eosinophils,4485,%,1.0,7.0
51214,"Fibrinogen, Functional",938,mg/dL,180.0,400.0
51237,INR(PT),3368,,0.9,1.1
51244,Lymphocytes,4485,%,19.0,53.0
51248,MCH,4864,pg,26.0,32.0
51249,MCHC,4864,g/dL,32.0,37.0
51250,MCV,4864,fL,82.0,98.0
51251,Metamyelocytes,1651,%,0.0,0.0
51254,Monocytes,4485,%,5.0,13.0
51255,Myelocytes,1575,%,0.0,0.0
51256,Neutrophils,4485,%,34.0,71.0
51257,Nucleated Red Cells,1332,%,0.0,0.0
51259,Other Cells,200,%,0.0,0.0
51265,Platelet Count,4864,K/uL,150.0,400.0
51269,Promyelocytes,278,%,0.0,0.0
51274,PT,3368,sec,9.4,12.5
51275,PTT,3270,sec,25.0,36.5
51277,RDW,4860,%,10.5,15.5
51282,"Reticulocyte Count, Absolute",481,m/uL,0.02,0.1
51283,"Reticulocyte Count, Automated",484,%,0.4,2.0
51301,White Blood Cells,4865,K/uL,4.0,10.0
51476,Epithelial Cells,97,#/hpf,0.0,20.0
51478,Glucose,192,mg/dL,0.0,0.0
51482,Hyaline Casts,292,#/lpf,0.0,0.0
51484,Ketone,369,mg/dL,0.0,0.0
51491,pH,1624,units,5.0,8.0
51492,Protein,623,mg/dL,0.0,0.0
51493,RBC,999,#/hpf,0.0,2.0
51498,Specific Gravity,1611, ,1.001,1.035
51514,Urobilinogen,260,mg/dL,0.2,1.0
51516,WBC,975,#/hpf,0.0,5.0
52069,Absolute Basophil Count,4485,K/uL,0.01,0.08
52073,Absolute Eosinophil Count,4485,K/uL,0.04,0.54
52074,Absolute Monocyte Count,4485,K/uL,0.2,0.8
52075,Absolute Neutrophil Count,4486,K/uL,1.6,6.1
52135,Immature Granulocytes,3167,%,0.0,0.6
52172,RDW-SD,4859,fL,35.1,46.3
