itemid,label,n_hadm_id,valueuom,ref_range_lower,ref_range_upper
50804,Calculated Total CO2,225,mEq/L,21.0,30.0
50808,Free Calcium,177,mmol/L,1.12,1.32
50813,Lactate,310,mmol/L,0.5,2.0
50818,pCO2,224,mm Hg,35.0,45.0
50820,pH,295,units,7.35,7.45
50821,pO2,224,mm Hg,85.0,105.0
50861,Alanine Aminotransferase (ALT),4000,IU/L,0.0,40.0
50862,Albumin,2997,g/dL,3.5,5.2
50878,Asparate Aminotransferase (AST),4006,IU/L,0.0,40.0
50882,Bicarbonate,4102,mEq/L,22.0,32.0
50883,"Bilirubin, Direct",158,mg/dL,0.0,0.3
50885,"Bilirubin, Total",3955,mg/dL,0.0,1.5
50889,C-Reactive Protein,182,mg/L,0.0,5.0
50893,"Calcium, Total",4074,mg/dL,8.4,10.3
50902,Chloride,4102,mEq/L,96.0,108.0
50911,"Creatine Kinase, MB Isoenzyme",136,ng/mL,0.0,10.0
50930,Globulin,238,g/dL,2.0,4.0
50931,Glucose,4089,mg/dL,70.0,100.0
50935,Haptoglobin,246,mg/dL,30.0,200.0
50950,Immunoglobulin G,139,mg/dL,700.0,1600.0
50953,"Iron Binding Capacity, Total",251,ug/dL,260.0,470.0
50954,Lactate Dehydrogenase (LD),3244,IU/L,94.0,250.0
50956,Lipase,181,IU/L,0.0,60.0
50961,Methotrexate,601,umol/L,0.0,0.2
50970,Phosphate,4080,mg/dL,2.7,4.5
50976,"Protein, Total",328,g/dL,6.4,8.3
50993,Thyroid Stimulating Hormone,268,uIU/mL,0.27,4.2
50998,Transferrin,255,mg/dL,200.0,360.0
51000,Triglycerides,167,mg/dL,0.0,149.0
51006,Urea Nitrogen,4103,mg/dL,6.0,20.0
51009,Vancomycin,158,ug/mL,10.0,20.0
51010,Vitamin B12,139,pg/mL,240.0,900.0
51133,Absolute Lymphocyte Count,3735,K/uL,1.2,3.7
51143,Atypical Lymphocytes,924,%,0.0,0.0
51144,Bands,1161,%,0.0,5.0
51146,Basophils,3735,%,0.0,1.0
51148,Blasts,84,%,0.0,0.0
51200,Eosinophils,3735,%,1.0,7.0
51214,"Fibrinogen, Functional",639,mg/dL,180.0,400.0
51237,INR(PT),2802,,0.9,1.1
51244,Lymphocytes,3735,%,19.0,53.0
51248,MCH,4101,pg,26.0,32.0
51249,MCHC,4101,g/dL,32.0,37.0
51250,MCV,4101,fL,82.0,98.0
51251,Metamyelocytes,1063,%,0.0,0.0
51254,Monocytes,3735,%,5.0,13.0
51255,Myelocytes,1012,%,0.0,0.0
51256,Neutrophils,3735,%,34.0,71.0
51257,Nucleated Red Cells,871,%,0.0,0.0
51259,Other Cells,97,%,0.0,0.0
51265,Platelet Count,4101,K/uL,150.0,400.0
51269,Promyelocytes,111,%,0.0,0.0
51274,PT,2802,sec,9.4,12.5
51275,PTT,2710,sec,25.0,36.5
51277,RDW,4098,%,10.5,15.5
51282,"Reticulocyte Count, Absolute",371,m/uL,0.02,0.1
51283,"Reticulocyte Count, Automated",371,%,0.4,2.0
51301,White Blood Cells,4101,K/uL,4.0,10.0
51476,Epithelial Cells,81,#/hpf,0.0,20.0
51478,Glucose,172,mg/dL,0.0,0.0
51482,Hyaline Casts,227,#/lpf,0.0,0.0
51484,Ketone,338,mg/dL,0.0,0.0
51491,pH,1350,units,5.0,8.0
51492,Protein,505,mg/dL,0.0,0.0
51493,RBC,835,#/hpf,0.0,2.0
51498,Specific Gravity,1338, ,1.001,1.035
51514,Urobilinogen,220,mg/dL,0.2,1.0
51516,WBC,811,#/hpf,0.0,5.0
52069,Absolute Basophil Count,3735,K/uL,0.01,0.08
52073,Absolute Eosinophil Count,3735,K/uL,0.04,0.54
52074,Absolute Monocyte Count,3735,K/uL,0.2,0.8
52075,Absolute Neutrophil Count,3736,K/uL,1.6,6.1
52135,Immature Granulocytes,2785,%,0.0,0.6
52172,RDW-SD,4098,fL,35.1,46.3
