itemid,label,n_hadm_ids,n_hadm_unique_range,n_hadm_no_range,n_hadm_multi_range,n_ranges
50802,Base Excess,262,0,262,0,0
50804,Calculated Total CO2,262,225,37,0,1
50808,Free Calcium,189,177,12,0,1
50813,Lactate,526,310,216,0,1
50818,pCO2,261,224,37,0,1
50820,pH,335,295,40,0,1
50821,pO2,261,224,37,0,1
50822,"Potassium, Whole Blood",222,156,66,0,2
50861,Alanine Aminotransferase (ALT),4467,4000,467,0,1
50862,Albumin,3596,2997,599,0,1
50863,Alkaline Phosphatase,4471,3979,492,0,2
50868,Anion Gap,4490,4087,388,15,3
50878,Asparate Aminotransferase (AST),4481,4006,475,0,1
50882,Bicarbonate,4490,4102,388,0,1
50883,"Bilirubin, Direct",222,158,64,0,1
50884,"Bilirubin, Indirect",477,0,477,0,0
50885,"Bilirubin, Total",4414,3955,459,0,1
50889,C-Reactive Protein,286,182,104,0,1
50893,"Calcium, Total",4439,4074,365,0,1
50902,Chloride,4494,4102,392,0,1
50910,Creatine Kinase (CK),280,207,73,0,2
50911,"Creatine Kinase, MB Isoenzyme",153,136,17,0,1
50912,Creatinine,4511,4103,408,0,2
50924,Ferritin,480,356,124,0,2
50930,Globulin,987,238,749,0,1
50931,Glucose,4178,4089,89,0,1
50935,Haptoglobin,298,246,52,0,1
50950,Immunoglobulin G,335,139,196,0,1
50952,Iron,347,274,73,0,2
50953,"Iron Binding Capacity, Total",319,251,68,0,1
50954,Lactate Dehydrogenase (LD),3420,3244,176,0,1
50956,Lipase,438,181,257,0,1
50960,Magnesium,4456,4087,369,0,2
50961,Methotrexate,813,601,212,0,1
50963,NTproBNP,211,118,93,0,10
50970,Phosphate,4435,4080,355,0,1
50971,Potassium,4506,4114,386,6,2
50976,"Protein, Total",1180,328,852,0,1
50983,Sodium,4503,4096,400,7,2
50993,Thyroid Stimulating Hormone,467,268,199,0,1
50998,Transferrin,323,255,68,0,1
51000,Triglycerides,222,167,55,0,1
51006,Urea Nitrogen,4508,4103,405,0,1
51007,Uric Acid,2081,1796,285,0,2
51009,Vancomycin,187,158,29,0,1
51010,Vitamin B12,196,139,57,0,1
51082,"Creatinine, Urine",445,0,445,0,0
51093,"Osmolality, Urine",322,0,322,0,0
51097,"Potassium, Urine",149,0,149,0,0
51100,"Sodium, Urine",321,0,321,0,0
51104,"Urea Nitrogen, Urine",174,0,174,0,0
51133,Absolute Lymphocyte Count,4149,3735,414,0,1
51143,Atypical Lymphocytes,1234,924,310,0,1
51144,Bands,1554,1161,393,0,1
51146,Basophils,4149,3735,414,0,1
51148,Blasts,230,84,146,0,1
51200,Eosinophils,4149,3735,414,0,1
51214,"Fibrinogen, Functional",721,639,82,0,1
51221,Hematocrit,4513,4101,412,0,2
51222,Hemoglobin,4513,4101,412,0,2
51237,INR(PT),3151,2802,349,0,1
51244,Lymphocytes,4149,3735,414,0,1
51248,MCH,4513,4101,412,0,1
51249,MCHC,4513,4101,412,0,1
51250,MCV,4513,4101,412,0,1
51251,Metamyelocytes,1487,1063,424,0,1
51254,Monocytes,4149,3735,414,0,1
51255,Myelocytes,1420,1012,408,0,1
51256,Neutrophils,4149,3735,414,0,1
51257,Nucleated Red Cells,1201,871,330,0,1
51259,Other Cells,220,97,123,0,1
51265,Platelet Count,4513,4101,412,0,1
51269,Promyelocytes,320,111,209,0,1
51274,PT,3151,2802,349,0,1
51275,PTT,2995,2710,285,0,1
51277,RDW,4510,4098,412,0,1
51279,Red Blood Cells,4513,4101,412,0,2
51282,"Reticulocyte Count, Absolute",461,371,90,0,1
51283,"Reticulocyte Count, Automated",463,371,92,0,1
51301,White Blood Cells,4512,4101,411,0,1
51476,Epithelial Cells,1044,81,963,0,1
51478,Glucose,255,172,83,0,1
51482,Hyaline Casts,343,227,116,0,1
51484,Ketone,463,338,125,0,1
51491,pH,1815,1350,465,0,1
51492,Protein,814,505,309,0,1
51493,RBC,1149,835,314,0,1
51498,Specific Gravity,1789,1338,451,0,1
51514,Urobilinogen,293,220,73,0,1
51516,WBC,1108,811,297,0,1
51564,ARCH-1,274,0,274,0,0
51657,HPE1,401,0,401,0,0
51659,HPE3,392,0,392,0,0
51663,HPE7,349,0,349,0,0
52069,Absolute Basophil Count,4149,3735,414,0,1
52073,Absolute Eosinophil Count,4149,3735,414,0,1
52074,Absolute Monocyte Count,4149,3735,414,0,1
52075,Absolute Neutrophil Count,4319,3736,583,0,1
52135,Immature Granulocytes,3801,2785,1016,0,1
52172,RDW-SD,4510,4098,412,0,1
