itemid,label,n_numeric_values,n_string_values,pct_numeric,n_hadm_no_value,string_values
50801,Alveolar-arterial Gradient,12718,1,100.0,441003,___
50802,Base Excess,635059,202,100.0,364795,- | . | ___
50803,"Calculated Bicarbonate, Whole Blood",10662,662,94.2,438958,___
50804,Calculated Total CO2,601545,33677,94.7,364797,___
50805,Carboxyhemoglobin,2212,40,98.2,445729,___
50806,"Chloride, Whole Blood",77054,783,99.0,411751,___
50808,Free Calcium,320301,32568,90.8,393610,___
50809,Glucose,237365,1941,99.2,404020,___
50810,"Hematocrit, Calculated",120512,37,100.0,410258,___
50811,Hemoglobin,119610,947,99.2,410257,___
50812,Intubated,0,168045,0.0,399744,INTUBATED. | NOT INTUBATED.
50813,Lactate,382471,79833,82.7,336155,- | ___
50814,Methemoglobin,2080,119,94.6,445905,___
50815,O2 Flow,10020,2,100.0,440443,___
50816,Oxygen,77678,95,99.9,426417,- | . | ___
50817,Oxygen Saturation,209709,2331,98.9,411413,___
50818,pCO2,584007,51184,91.9,364814,___
50819,PEEP,65264,1,100.0,431786,___
50820,pH,620492,64773,90.5,359903,___
50821,pO2,551026,84738,86.7,364801,___
50822,"Potassium, Whole Blood",228233,15428,93.7,392415,___
50823,Required O2,12735,1,100.0,440999,___
50824,"Sodium, Whole Blood",109911,13889,88.8,406445,___
50825,Temperature,104426,12165,89.6,420438,34.5 C | 35.6 C | 36.1 C | 36.2 C | 36.3 C | 36.4 C | 36.5 C | 36.6 C | 36.7 C | 36.8 C | 36.9 C | 37 C | 37.1 C | 37.2 C | 37.3 C | 37.5 C | 37.7 C | 38.1 C | 38.3 C | ___
50826,Tidal Volume,53903,0,100.0,432104,
