itemid,label,reason,n_numeric_values,n_unique_numeric_values,n_ranges,range_coverage_pct
50801,Alveolar-arterial Gradient,no_range,12718.0,569.0,0.0,0.0
50802,Base Excess,no_range,635059.0,238.0,0.0,0.0
50810,"Hematocrit, Calculated",no_range,120512.0,439.0,0.0,0.0
50812,Intubated,too_few_values,0.0,0.0,0.0,0.0
50815,O2 Flow,no_range,10020.0,189.0,0.0,0.0
50816,Oxygen,no_range,77678.0,130.0,0.0,0.0
50817,Oxygen Saturation,no_range,209709.0,177.0,0.0,0.0
50819,PEEP,no_range,65264.0,66.0,0.0,0.0
50823,Required O2,no_range,12735.0,81.0,0.0,0.0
50825,Temperature,no_range,104426.0,138.0,0.0,0.0
50826,Tidal Volume,no_range,53903.0,731.0,0.0,0.0
50827,Ventilation Rate,too_few_values,0.0,0.0,0.0,0.0
50828,Ventilator,too_few_values,0.0,0.0,0.0,0.0
50829,Fluid Type,never_measured,,,,
50830,"pCO2, Body Fluid",never_measured,,,,
50831,pH,no_range,551.0,84.0,0.0,0.0
50832,"pO2, Body Fluid",never_measured,,,,
50833,Potassium,never_measured,,,,
50834,"Sodium, Body Fluid",never_measured,,,,
50835,"Albumin, Ascites",no_range,2940.0,44.0,0.0,0.0
50836,"Amylase, Ascites",no_range,2422.0,554.0,0.0,0.0
50837,"Bicarbonate, Ascites",no_range,24.0,14.0,0.0,0.0
50838,"Bilirubin, Total, Ascites",no_range,1586.0,221.0,0.0,0.0
50839,"Chloride, Ascites",no_range,28.0,23.0,0.0,0.0
50840,"Cholesterol, Ascites",no_range,35.0,24.0,0.0,0.0
50841,"Creatinine, Ascites",no_range,1680.0,150.0,0.0,0.0
50842,"Glucose, Ascites",no_range,2833.0,330.0,0.0,0.0
50843,"Lactate Dehydrogenase, Ascites",no_range,2784.0,514.0,0.0,0.0
50844,"Lipase, Ascites",no_range,41.0,38.0,0.0,0.0
50845,"Miscellaneous, Ascites",too_few_values,0.0,0.0,0.0,0.0
50846,"Osmolality, Ascites",too_few_values,5.0,5.0,0.0,0.0
50847,"Potassium, Ascites",no_range,31.0,18.0,0.0,0.0
50848,"Sodium, Ascites",no_range,41.0,22.0,0.0,0.0
50849,"Total Protein, Ascites",no_range,4745.0,73.0,0.0,0.0
50850,"Triglycerides, Ascites",no_range,313.0,216.0,0.0,0.0
50851,"Urea Nitrogen, Ascites",no_range,21.0,18.0,0.0,0.0
50852,% Hemoglobin A1c,too_few_values,0.0,0.0,2.0,100.0
50854,Absolute A1c,never_measured,,,,
50855,Absolute Hemoglobin,never_measured,,,,
50857,Acetone,too_few_values,0.0,0.0,0.0,0.0
50858,Acid Phosphatase,never_measured,,,,
50859,"Acid Phosphatase, Non-Prostatic",never_measured,,,,
50860,"AFP, Maternal Screen",never_measured,,,,
50864,Alpha-Fetoprotein,too_few_values,0.0,0.0,1.0,100.0
50865,Amikacin,too_few_values,0.0,0.0,1.0,100.0
50869,Anti-DGP (IgA/IgG),too_few_values,0.0,0.0,1.0,100.0
50870,"Anti-Gliadin Antibody, IgA",too_few_values,0.0,0.0,1.0,100.0
50871,Anti-Mitochondrial Antibody,too_few_values,0.0,0.0,0.0,0.0
50872,Anti-Neutrophil Cytoplasmic Antibody,too_few_values,0.0,0.0,0.0,0.0
50873,Anti-Nuclear Antibody,too_few_values,0.0,0.0,0.0,0.0
50874,"Anti-Nuclear Antibody, Titer",too_few_values,0.0,0.0,0.0,
50875,Anti-Parietal Cell Antibody,too_few_values,0.0,0.0,0.0,
50876,Anti-Smooth Muscle Antibody,too_few_values,0.0,0.0,0.0,
50879,Barbiturate Screen,too_few_values,0.0,0.0,0.0,0.0
50880,Benzodiazepine Screen,too_few_values,0.0,0.0,0.0,0.0
50884,"Bilirubin, Indirect",no_range,34466.0,232.0,0.0,0.0
50886,Blood Culture Hold,never_measured,,,,
50887,Blue Top Hold,too_few_values,0.0,0.0,0.0,0.0
50888,Blue Top Hold Frozen,too_few_values,0.0,0.0,0.0,0.0
50892,CA-125,too_few_values,0.0,0.0,1.0,100.0
50897,Call,never_measured,,,,
50898,Cancer Antigen 27.29,too_few_values,0.0,0.0,1.0,100.0
50900,Carcinoembyronic Antigen (CEA),too_few_values,0.0,0.0,1.0,100.0
50901,Centromere,too_few_values,0.0,0.0,0.0,
50903,Cholesterol Ratio (Total/HDL),no_range,31431.0,261.0,0.0,0.0
50909,Cortisol,too_few_values,0.0,0.0,1.0,99.92
50913,Cryoglobulin,too_few_values,0.0,0.0,0.0,
50918,Double Stranded DNA,too_few_values,0.0,0.0,0.0,0.0
50919,EDTA Hold,too_few_values,0.0,0.0,0.0,
50920,Estimated GFR (MDRD equation),too_few_values,0.0,0.0,0.0,
50921,Estradiol,too_few_values,0.0,0.0,2.0,100.0
50922,Ethanol,too_few_values,0.0,0.0,2.0,100.0
50923,Fax,never_measured,,,,
50926,Follicle Stimulating Hormone,too_few_values,0.0,0.0,1.0,100.0
50928,Gastrin,never_measured,,,,
50929,Gentamicin,too_few_values,1.0,1.0,1.0,100.0
50932,Gray Top Hold (plasma),too_few_values,0.0,0.0,0.0,0.0
50933,Green Top Hold (plasma),too_few_values,0.0,0.0,0.0,0.0
50934,H,low_range_coverage,1525091.0,1006.0,1.0,0.06
50936,"HCG, Maternal Screen",never_measured,,,,
50937,Hepatitis A Virus Antibody,too_few_values,0.0,0.0,0.0,0.0
50938,Hepatitis A Virus IgM Antibody,too_few_values,0.0,0.0,0.0,0.0
50939,"Hepatitis B Core Antibody, IgM",too_few_values,0.0,0.0,0.0,0.0
50940,Hepatitis B Surface Antibody,too_few_values,2.0,1.0,0.0,0.0
50941,Hepatitis B Surface Antigen,too_few_values,0.0,0.0,0.0,0.0
50942,Hepatitis B Virus Core Antibody,too_few_values,1.0,1.0,0.0,0.0
50943,Hepatitis C Virus Antibody,too_few_values,0.0,0.0,0.0,0.0
50946,Human Chorionic Gonadotropin,too_few_values,0.0,0.0,1.0,100.0
50947,I,low_range_coverage,1525076.0,84.0,1.0,0.06
50948,Immunofixation,too_few_values,0.0,0.0,0.0,
50955,Light Green Top Hold,too_few_values,0.0,0.0,0.0,0.0
50958,Luteinizing Hormone,too_few_values,0.0,0.0,2.0,100.0
50959,Macro Prolactin,never_measured,,,,
50961,Methotrexate,too_few_values,2.0,2.0,1.0,41.45
50962,N-Acetylprocainamide (NAPA),too_few_values,8.0,8.0,1.0,100.0
50963,NTproBNP,too_few_values,1.0,1.0,10.0,100.0
50972,Procainamide,too_few_values,7.0,7.0,1.0,100.0
50973,Prolactin,too_few_values,0.0,0.0,2.0,100.0
50974,Prostate Specific Antigen,too_few_values,6.0,6.0,1.0,99.91
50975,Protein Electrophoresis,too_few_values,0.0,0.0,0.0,
50977,Quinidine,never_measured,,,,
50979,Red Top Hold,too_few_values,0.0,0.0,0.0,
50980,Rheumatoid Factor,too_few_values,0.0,0.0,1.0,100.0
50984,Stat,never_measured,,,,
50985,Study Tubes,never_measured,,,,
