itemid,label,n_ranges,ref_range_lower,ref_range_upper,n_hadm_with_range,units,n_hadm_no_range,n_hadm_no_value
50801,Alveolar-arterial Gradient,0,,,,,6686,441003
50802,Base Excess,0,,,,,82894,364795
50803,"Calculated Bicarbonate, Whole Blood",1,21.0,30.0,8743.0,mEq/L,0,438958
50804,Calculated Total CO2,1,21.0,30.0,82940.0,mEq/L,0,364797
50805,Carboxyhemoglobin,1,0.0,5.0,1975.0,%,0,445729
50806,"Chloride, Whole Blood",2,96.0,108.0,26426.0,mEq/L,0,411751
50806,"Chloride, Whole Blood",2,100.0,112.0,9535.0,mEq/L,0,411751
50808,Free Calcium,1,1.12,1.32,54100.0,mmol/L,0,393610
50809,Glucose,1,70.0,105.0,43797.0,mg/dL,0,404020
50810,"Hematocrit, Calculated",0,,,,,37431,410258
50811,Hemoglobin,2,12.0,16.0,14994.0,g/dL,0,410257
50811,Hemoglobin,2,14.0,18.0,22438.0,g/dL,0,410257
50812,Intubated,0,,,,,47945,399744
50813,Lactate,1,0.5,2.0,111558.0,mmol/L,0,336155
50814,Methemoglobin,1,0.0,2.0,1805.0,%,0,445905
50815,O2 Flow,0,,,,,7246,440443
50816,Oxygen,0,,,,,21272,426417
50817,Oxygen Saturation,0,,,,,36276,411413
50818,pCO2,1,35.0,45.0,82916.0,mm Hg,0,364814
50819,PEEP,0,,,,,15903,431786
50820,pH,1,7.35,7.45,87825.0,units,0,359903
50821,pO2,1,85.0,105.0,82922.0,mm Hg,0,364801
50822,"Potassium, Whole Blood",3,3.3,5.1,26484.0,mEq/L,0,392415
50822,"Potassium, Whole Blood",3,3.5,5.3,12737.0,mEq/L,0,392415
50822,"Potassium, Whole Blood",3,3.5,5.4,16127.0,mEq/L,0,392415
50823,Required O2,0,,,,,6690,440999
50824,"Sodium, Whole Blood",3,133.0,145.0,19788.0,mEq/L,0,406445
50824,"Sodium, Whole Blood",3,135.0,147.0,11506.0,mEq/L,0,406445
50824,"Sodium, Whole Blood",3,135.0,148.0,9982.0,mEq/L,0,406445
50825,Temperature,0,,,,,27251,420438
50826,Tidal Volume,0,,,,,15585,432104
50827,Ventilation Rate,0,,,,,17798,429891
50828,Ventilator,0,,,,,28411,419278
50831,pH,0,,,,,4303,443386
50835,"Albumin, Ascites",0,,,,,3496,444193
50836,"Amylase, Ascites",0,,,,,2609,445080
50837,"Bicarbonate, Ascites",0,,,,,25,447664
50838,"Bilirubin, Total, Ascites",0,,,,,1925,445764
50839,"Chloride, Ascites",0,,,,,29,447660
50840,"Cholesterol, Ascites",0,,,,,48,447641
50841,"Creatinine, Ascites",0,,,,,2067,445622
50842,"Glucose, Ascites",0,,,,,3404,444285
50843,"Lactate Dehydrogenase, Ascites",0,,,,,3119,444570
50844,"Lipase, Ascites",0,,,,,83,447606
50845,"Miscellaneous, Ascites",0,,,,,4,447685
50846,"Osmolality, Ascites",0,,,,,4,447685
50847,"Potassium, Ascites",0,,,,,32,447657
50848,"Sodium, Ascites",0,,,,,38,447651
50849,"Total Protein, Ascites",0,,,,,4977,442712
50850,"Triglycerides, Ascites",0,,,,,352,447337
50851,"Urea Nitrogen, Ascites",0,,,,,27,447662
50852,% Hemoglobin A1c,2,4.0,6.0,24624.0,%,0,403843
50852,% Hemoglobin A1c,2,4.8,5.9,19254.0,%,0,403843
50853,25-OH Vitamin D,1,30.0,60.0,9930.0,ng/mL,0,438026
50856,Acetaminophen,2,5.0,25.0,2921.0,ug/mL,0,446385
50856,Acetaminophen,2,10.0,30.0,18639.0,ug/mL,0,446385
50857,Acetone,0,,,,,47,447642
50861,Alanine Aminotransferase (ALT),1,0.0,40.0,209687.0,IU/L,0,239476
50862,Albumin,2,3.4,4.8,17673.0,g/dL,0,295871
50862,Albumin,2,3.5,5.2,134226.0,g/dL,0,295871
50863,Alkaline Phosphatase,3,35.0,105.0,85646.0,IU/L,0,245374
50863,Alkaline Phosphatase,3,39.0,117.0,21789.0,IU/L,0,245374
50863,Alkaline Phosphatase,3,40.0,130.0,94971.0,IU/L,0,245374
50864,Alpha-Fetoprotein,1,0.0,8.7,3422.0,ng/mL,0,444384
50865,Amikacin,1,20.0,25.0,154.0,ug/mL,0,447540
50866,Ammonia,2,10.0,60.0,3481.0,umol/L,0,443921
50866,Ammonia,2,12.0,47.0,667.0,umol/L,0,443921
50867,Amylase,1,0.0,100.0,25428.0,IU/L,0,422265
50868,Anion Gap,3,8.0,16.0,6018.0,mEq/L,0,40829
50868,Anion Gap,3,8.0,20.0,262149.0,mEq/L,0,40829
50868,Anion Gap,3,10.0,18.0,139512.0,mEq/L,0,40829
50869,Anti-DGP (IgA/IgG),1,0.0,19.0,151.0,units,0,447540
50870,"Anti-Gliadin Antibody, IgA",1,0.0,19.0,1.0,units,0,447688
50871,Anti-Mitochondrial Antibody,0,,,,,3097,444592
50872,Anti-Neutrophil Cytoplasmic Antibody,0,,,,,4313,443376
50873,Anti-Nuclear Antibody,0,,,,,10371,437318
50874,"Anti-Nuclear Antibody, Titer",0,,,,,0,447689
50875,Anti-Parietal Cell Antibody,0,,,,,0,447689
50876,Anti-Smooth Muscle Antibody,0,,,,,0,447689
50877,Anti-Thyroglobulin Antibodies,1,0.0,40.0,513.0,IU/mL,0,447618
50878,Asparate Aminotransferase (AST),1,0.0,40.0,209002.0,IU/L,0,238727
50879,Barbiturate Screen,0,,,,,11228,436461
50880,Benzodiazepine Screen,0,,,,,11241,436448
50881,Beta-2 Microglobulin,1,0.8,2.2,1306.0,mg/L,0,446387
50882,Bicarbonate,1,22.0,32.0,406904.0,mEq/L,0,40794
50883,"Bilirubin, Direct",1,0.0,0.3,19615.0,mg/dL,0,430198
50884,"Bilirubin, Indirect",0,,,,,17445,430244
50885,"Bilirubin, Total",3,0.0,1.5,203853.0,mg/dL,0,246237
50885,"Bilirubin, Total",3,0.0,7.0,1.0,mg/dL,0,246237
50885,"Bilirubin, Total",3,0.0,12.0,1.0,mg/dL,0,246237
50887,Blue Top Hold,0,,,,,48989,398700
50888,Blue Top Hold Frozen,0,,,,,11,447678
50889,C-Reactive Protein,1,0.0,5.0,33763.0,mg/L,20,414787
50890,C3,1,90.0,180.0,3776.0,mg/dL,0,443921
50891,C4,1,10.0,40.0,3967.0,mg/dL,0,443787
50892,CA-125,1,0.0,35.0,1179.0,U/mL,0,446512
50893,"Calcium, Total",3,8.4,10.2,46571.0,mg/dL,0,75596
50893,"Calcium, Total",3,8.4,10.3,325676.0,mg/dL,0,75596
50893,"Calcium, Total",3,8.8,10.8,80.0,mg/dL,0,75596
50894,Calculated Free Testosterone,2,0.57,11.0,16.0,pg/mL,0,447495
50894,Calculated Free Testosterone,2,60.0,185.0,178.0,pg/mL,0,447495
50895,Calculated TBG,1,0.8,1.3,717.0,Ratio,0,446978
50896,Calculated Thyroxine (T4) Index,1,4.4,11.4,708.0,ug/dL,0,446981
50898,Cancer Antigen 27.29,1,0.0,39.0,294.0,U/mL,0,447398
50899,Carbamazepine,1,4.0,12.0,647.0,ug/mL,0,447107
