itemid,hadm_ids_with_range,hadm_ids_missing_range,n_distinct_ranges
50802,0,316,0
50804,279,37,1
50808,220,12,1
50813,383,235,1
50818,278,37,1
50820,364,40,1
50821,278,37,1
50822,186,68,2
50861,4752,476,1
50862,3680,630,1
50863,4731,501,2
50868,4865,393,3
50878,4759,484,1
50882,4865,393,1
50883,223,70,1
50884,0,585,0
50885,4702,467,1
50889,230,117,1
50893,4837,371,1
50902,4865,398,1
50910,266,82,2
50911,161,18,1
50912,4866,414,2
50924,431,142,2
50930,359,854,1
50931,4852,90,1
50935,343,66,1
50950,178,211,1
50952,313,85,2
50953,282,80,1
50954,3978,185,1
50956,219,282,1
50960,4850,374,2
50961,669,224,1
50963,144,98,10
50970,4843,360,1
50971,4883,392,2
50976,460,959,1
50983,4866,406,2
50993,329,213,1
50998,286,80,1
51000,240,67,1
51006,4866,411,1
51007,2362,311,2
51009,278,36,1
51010,166,67,1
51082,0,537,0
51093,0,406,0
51097,0,199,0
51100,0,416,0
51104,0,227,0
51133,4486,421,1
51143,1450,355,1
51144,1772,434,1
51146,4486,421,1
51148,243,179,1
51200,4486,421,1
51214,938,105,1
51221,4864,418,2
51222,4864,418,2
51237,3368,369,1
51244,4486,421,1
51248,4864,418,1
51249,4864,418,1
51250,4864,418,1
51251,1651,474,1
51254,4486,421,1
51255,1575,460,1
51256,4486,421,1
51257,1332,387,1
51259,200,151,1
51265,4864,418,1
51269,278,256,1
51274,3368,369,1
51275,3270,299,1
51277,4860,418,1
51279,4864,418,2
51282,481,104,1
51283,484,107,1
51301,4865,417,1
51476,97,1130,1
51478,192,85,1
51482,292,125,1
51484,369,134,1
51491,1624,501,1
51492,623,356,1
51493,999,337,1
51498,1611,486,1
51514,260,79,1
51516,975,317,1
51564,0,316,0
51657,0,455,0
51659,0,441,0
51663,0,398,0
52069,4486,421,1
52073,4486,421,1
52074,4486,421,1
52075,4487,594,1
52135,3167,1121,1
52172,4859,418,1
