itemid,label,range_lower,range_upper,n_hadm,genders,n_F,n_M,age_mean,age_std,age_min,age_max
50863,Alkaline Phosphatase,35.0,105.0,2180,F,2180,0,58.77,14.78,18,91
50863,Alkaline Phosphatase,40.0,130.0,2565,M,0,2565,59.23,13.76,20,91
50910,Creatine Kinase (CK),29.0,201.0,194,F,194,0,58.91,14.04,21,91
50910,Creatine Kinase (CK),47.0,322.0,213,M,0,213,60.4,12.63,20,91
50912,Creatinine,0.4,1.1,2238,F,2238,0,58.78,14.74,18,91
50912,Creatinine,0.5,1.2,2628,M,0,2628,59.31,13.72,20,91
50924,Ferritin,13.0,150.0,302,F,302,0,59.94,15.63,18,91
50924,Ferritin,30.0,400.0,333,M,0,333,61.37,13.52,20,89
50952,Iron,30.0,160.0,233,F,233,0,59.32,15.8,19,91
50952,Iron,45.0,160.0,268,M,0,268,60.72,14.51,20,89
50963,NTproBNP,0.0,93.0,13,M,0,13,36.31,6.45,23,45
50963,NTproBNP,0.0,138.0,12,M,0,12,49.75,2.7,45,53
50963,NTproBNP,0.0,177.0,24,M,0,24,57.71,4.38,48,64
50963,NTproBNP,0.0,178.0,12,F,12,0,35.0,9.28,21,46
50963,NTproBNP,0.0,192.0,10,F,10,0,45.7,3.95,35,49
50963,NTproBNP,0.0,226.0,27,F,27,0,55.7,4.51,47,63
50963,NTproBNP,0.0,229.0,52,M,0,52,66.87,3.96,56,74
50963,NTproBNP,0.0,353.0,39,F,39,0,67.23,4.32,56,74
50963,NTproBNP,0.0,624.0,32,F,32,0,77.0,4.87,68,91
50963,NTproBNP,0.0,852.0,38,M,0,38,78.74,5.51,67,91
51007,Uric Acid,2.4,5.7,1067,F,1067,0,59.33,15.62,18,91
51007,Uric Acid,3.4,7.0,1423,M,0,1423,59.78,14.37,20,91
51221,Hematocrit,34.0,45.0,2238,F,2238,0,58.78,14.74,18,91
51221,Hematocrit,40.0,51.0,2626,M,0,2626,59.3,13.72,20,91
51222,Hemoglobin,11.2,15.7,2238,F,2238,0,58.78,14.74,18,91
51222,Hemoglobin,13.7,17.5,2626,M,0,2626,59.3,13.72,20,91
51279,Red Blood Cells,3.9,5.2,2238,F,2238,0,58.78,14.74,18,91
51279,Red Blood Cells,4.6,6.1,2626,M,0,2626,59.3,13.72,20,91
