itemid,hadm_ids_with_range,hadm_ids_missing_range,n_distinct_ranges
50802,0,262,0
50804,225,37,1
50808,177,12,1
50813,310,216,1
50818,224,37,1
50820,295,40,1
50821,224,37,1
50822,156,66,2
50861,4000,467,1
50862,2997,599,1
50863,3979,492,2
50868,4102,388,3
50878,4006,475,1
50882,4102,388,1
50883,158,64,1
50884,0,477,0
50885,3955,459,1
50889,182,104,1
50893,4074,365,1
50902,4102,392,1
50910,207,73,2
50911,136,17,1
50912,4103,408,2
50924,356,124,2
50930,238,749,1
50931,4089,89,1
50935,246,52,1
50950,139,196,1
50952,274,73,2
50953,251,68,1
50954,3244,176,1
50956,181,257,1
50960,4087,369,2
50961,601,212,1
50963,118,93,10
50970,4080,355,1
50971,4120,386,2
50976,328,852,1
50983,4103,400,2
50993,268,199,1
50998,255,68,1
51000,167,55,1
51006,4103,405,1
51007,1796,285,2
51009,158,29,1
51010,139,57,1
51082,0,445,0
51093,0,322,0
51097,0,149,0
51100,0,321,0
51104,0,174,0
51133,3736,413,1
51143,924,310,1
51144,1161,393,1
51146,3736,413,1
51148,84,146,1
51200,3736,413,1
51214,639,82,1
51221,4101,412,2
51222,4101,412,2
51237,2802,349,1
51244,3736,413,1
51248,4101,412,1
51249,4101,412,1
51250,4101,412,1
51251,1063,424,1
51254,3736,413,1
51255,1012,408,1
51256,3736,413,1
51257,871,330,1
51259,97,123,1
51265,4101,412,1
51269,111,209,1
51274,2802,349,1
51275,2710,285,1
51277,4098,412,1
51279,4101,412,2
51282,371,90,1
51283,371,92,1
51301,4101,411,1
51476,81,963,1
51478,172,83,1
51482,227,116,1
51484,338,125,1
51491,1350,465,1
51492,505,309,1
51493,835,314,1
51498,1338,451,1
51514,220,73,1
51516,811,297,1
51564,0,274,0
51657,0,401,0
51659,0,392,0
51663,0,349,0
52069,3736,413,1
52073,3736,413,1
52074,3736,413,1
52075,3737,582,1
52135,2785,1016,1
52172,4098,412,1
