itemid,label,n_cohorts,n_admissions,n_value,n_no_value,n_value_and_range,n_value_no_range,n_range_no_value,pct_measured,pct_of_measured_with_range
50912,Creatinine,100,5480.4,4774.2,706.2,4774.2,0.0,1.2,87.1,100.0
51221,Hematocrit,100,5480.4,4765.9,714.5,4765.9,0.0,3.5,87.0,100.0
51006,Urea Nitrogen,100,5480.4,4757.3,723.1,4757.3,0.0,0.4,86.8,100.0
51265,Platelet Count,100,5480.4,4736.3,744.1,4736.3,0.0,13.1,86.4,100.0
50902,Chloride,100,5480.4,4736.2,744.2,4736.2,0.0,1.6,86.4,100.0
51222,Hemoglobin (Hematology),100,5480.4,4734.4,746.0,4734.4,0.0,1.1,86.4,100.0
51301,White Blood Cells,100,5480.4,4726.6,753.8,4726.6,0.0,1.8,86.2,100.0
50882,Bicarbonate,100,5480.4,4725.0,755.4,4725.0,0.0,5.0,86.2,100.0
51248,MCH,100,5480.4,4724.2,756.2,4724.2,0.0,1.6,86.2,100.0
51249,MCHC,100,5480.4,4724.2,756.2,4724.2,0.0,1.6,86.2,100.0
51279,Red Blood Cells,100,5480.4,4724.1,756.3,4724.1,0.0,1.7,86.2,100.0
51277,RDW,100,5480.4,4722.6,757.8,4722.6,0.0,3.3,86.2,100.0
52172,RDW-SD,100,5480.4,4722.4,758.0,4722.4,0.0,3.4,86.2,100.0
51250,MCV,100,5480.4,4720.5,759.8,4720.5,0.0,5.3,86.1,100.0
50960,Magnesium,100,5480.4,4559.0,921.3,4559.0,0.0,0.8,83.2,100.0
50893,"Calcium, Total",100,5480.4,4474.2,1006.2,4474.2,0.0,0.2,81.6,100.0
50970,Phosphate,100,5480.4,4462.0,1018.4,4462.0,0.0,4.9,81.4,100.0
50971,Potassium,100,5480.4,3996.2,1484.2,3996.2,0.0,768.1,72.9,100.0
50983,Sodium,100,5480.4,3613.3,1867.1,3613.3,0.0,1135.2,65.9,100.0
51237,INR(PT),100,5480.4,3516.6,1963.8,3516.6,0.0,7.8,64.2,100.0
51274,PT,100,5480.4,3514.5,1965.9,3514.5,0.0,10.0,64.1,100.0
50868,Anion Gap,100,5480.4,3433.1,2047.3,3433.1,0.0,1296.6,62.6,100.0
51275,PTT,100,5480.4,3344.6,2135.8,3344.6,0.0,51.4,61.0,100.0
50863,Alkaline Phosphatase,100,5480.4,2922.4,2558.0,2922.4,0.0,18.7,53.3,100.0
50878,Asparate Aminotransferase (AST),100,5480.4,2906.8,2573.5,2906.8,0.0,62.8,53.0,100.0
50861,Alanine Aminotransferase (ALT),100,5480.4,2897.5,2582.9,2897.5,0.0,73.5,52.9,100.0
50885,"Bilirubin, Total",100,5480.4,2888.8,2591.5,2888.8,0.0,68.4,52.7,100.0
52073,Absolute Eosinophil Count,100,5480.4,2367.4,3112.9,2367.4,0.0,2.4,43.2,100.0
52075,Absolute Neutrophil Count,100,5480.4,2367.4,3113.0,2367.4,0.0,2.5,43.2,100.0
52069,Absolute Basophil Count,100,5480.4,2367.2,3113.2,2367.2,0.0,2.4,43.2,100.0
51133,Absolute Lymphocyte Count,100,5480.4,2367.2,3113.2,2367.2,0.0,2.4,43.2,100.0
52074,Absolute Monocyte Count,100,5480.4,2367.2,3113.2,2367.2,0.0,2.4,43.2,100.0
51146,Basophils (Blood),100,5480.4,2367.0,3113.4,2367.0,0.0,2.7,43.2,100.0
51200,Eosinophils (Blood),100,5480.4,2366.9,3113.5,2366.9,0.0,2.7,43.2,100.0
51254,Monocytes (Blood),100,5480.4,2366.1,3114.2,2366.1,0.0,3.5,43.2,100.0
51244,Lymphocytes (Blood),100,5480.4,2361.4,3119.0,2361.4,0.0,8.2,43.1,100.0
51256,Neutrophils,100,5480.4,2353.0,3127.4,2353.0,0.0,16.7,42.9,100.0
50862,Albumin,100,5480.4,2219.6,3260.8,2219.6,0.0,0.3,40.5,100.0
50954,Lactate Dehydrogenase (LD),100,5480.4,1878.7,3601.7,1878.7,0.0,66.5,34.3,100.0
51498,Specific Gravity,100,5480.4,1828.0,3652.4,1828.0,0.0,37.7,33.4,100.0
51493,RBC,100,5480.4,1327.0,4153.4,1327.0,0.0,170.6,24.2,100.0
50813,Lactate,100,5480.4,1299.1,4181.3,1299.1,0.0,217.8,23.7,100.0
51516,WBC,100,5480.4,1289.1,4191.3,1289.1,0.0,208.5,23.5,100.0
50820,pH,100,5480.4,1152.5,4327.9,1152.5,0.0,14.0,21.0,100.0
50804,Calculated Total CO2,100,5480.4,1089.5,4390.9,1089.5,0.0,18.3,19.9,100.0
50818,pCO2,100,5480.4,1076.4,4404.0,1076.4,0.0,30.9,19.6,100.0
51492,Protein,100,5480.4,1003.7,4476.6,707.2,296.5,531.9,18.3,70.5
50821,pO2,100,5480.4,922.0,4558.4,922.0,0.0,185.5,16.8,100.0
50911,"Creatine Kinase, MB Isoenzyme",100,5480.4,920.6,4559.8,920.6,0.0,77.3,16.8,100.0
50993,Thyroid Stimulating Hormone,100,5480.4,756.9,4723.5,756.9,0.0,4.2,13.8,100.0
50924,Ferritin,100,5480.4,736.1,4744.3,736.1,0.0,0.7,13.4,100.0
50952,Iron,100,5480.4,696.9,4783.5,696.9,0.0,3.7,12.7,100.0
50998,Transferrin,100,5480.4,681.4,4799.0,681.4,0.0,0.0,12.4,100.0
50953,"Iron Binding Capacity, Total",100,5480.4,678.2,4802.2,678.2,0.0,0.0,12.4,100.0
50956,Lipase,100,5480.4,662.3,4818.1,662.3,0.0,2.2,12.1,100.0
50822,"Potassium, Whole Blood",100,5480.4,641.7,4838.7,641.7,0.0,58.9,11.7,100.0
51482,Hyaline Casts,100,5480.4,594.8,4885.6,594.8,0.0,0.4,10.9,100.0
51009,Vancomycin,100,5480.4,593.8,4886.6,593.8,0.0,7.4,10.8,100.0
50808,Free Calcium,100,5480.4,576.8,4903.6,576.8,0.0,24.1,10.5,100.0
51214,"Fibrinogen, Functional",100,5480.4,554.6,4925.8,554.6,0.0,10.2,10.1,100.0
51282,"Reticulocyte Count, Absolute",100,5480.4,474.1,5006.3,474.1,0.0,2.2,8.7,100.0
51283,"Reticulocyte Count, Automated",100,5480.4,470.0,5010.4,470.0,0.0,1.7,8.6,100.0
51144,Bands (Blood),100,5480.4,462.6,5017.8,462.6,0.0,0.6,8.4,100.0
50809,Glucose (Blood Gas),100,5480.4,438.1,5042.3,438.1,0.0,6.3,8.0,100.0
50824,"Sodium, Whole Blood",100,5480.4,437.1,5043.2,437.1,0.0,16.7,8.0,100.0
51251,Metamyelocytes,100,5480.4,433.7,5046.7,433.7,0.0,0.3,7.9,100.0
51000,Triglycerides,100,5480.4,432.3,5048.1,432.3,0.0,31.8,7.9,100.0
51255,Myelocytes,100,5480.4,422.0,5058.4,422.0,0.0,0.4,7.7,100.0
51143,Atypical Lymphocytes (Blood),100,5480.4,397.7,5082.7,397.7,0.0,2.1,7.3,100.0
51257,Nucleated Red Cells,100,5480.4,396.4,5084.0,396.4,0.0,15.2,7.2,100.0
